lags_1,lags_2,lags_12,roll_mean_3,roll_mean_6,roll_mean_12,roll_std_3,roll_std_6,roll_std_12,growth_yoy,month_sin,month_cos,quarter,year,saison_1,saison_2,saison_3,is_summer,is_high_season,is_vacances,jours_feries_count,is_ramadan,is_special_event,Oil_price_lag1,FDI_lag1,Poverty_rate_lag1,REER_lag1,Oil_price_lag3,FDI_lag3,Poverty_rate_lag3,REER_lag3,is_covid,cdm_event,anomaly_zscore,anomaly_iforest,anomaly_prophet,TSI,TSI_lag1,TSI_lag3
,,,,,,,,,0.0,0.49999999999999994,0.8660254037844387,1,1995,0,0,0,0,0,0,2,0,0,,,,,,,,,0,0,0,0,0,61.24,,
187471.88663236666,,,,,,,,,0.0,0.8660254037844386,0.5000000000000001,1,1995,0,0,0,0,0,0,0,1,0,17.015,334768300.0,15.5,109.37567,,,,,0,0,0,0,0,59.69,61.24,
187471.88663236666,187471.88663236666,,,,,,,,0.0,1.0,6.123233995736766e-17,1,1995,1,0,0,0,0,0,0,0,0,17.05,336689917.8082192,15.542465753424658,109.4047208219178,,,,,0,0,0,0,0,61.68,59.69,
187471.88663236666,187471.88663236666,,187471.88663236666,,,0.0,,,0.0,0.8660254037844387,-0.4999999999999998,2,1995,1,0,0,0,1,0,0,0,0,16.85,338425572.6027397,15.58082191780822,109.4309602739726,17.015,334768300.0,15.5,109.37567,0,0,0,0,0,63.9,61.68,61.24
187471.88663236666,187471.88663236666,,187471.88663236666,,,0.0,,,0.0,0.49999999999999994,-0.8660254037844387,2,1995,1,0,0,0,1,0,1,0,0,18.135737704918032,340347190.4109589,15.623287671232877,109.4600110958904,17.05,336689917.8082192,15.542465753424658,109.4047208219178,0,0,0,0,0,59.54,63.9,59.69
187471.88663236666,187471.88663236666,,187471.88663236666,,,0.0,,,0.0,1.2246467991473532e-16,-1.0,2,1995,0,1,0,1,0,0,0,0,0,19.38,342206820.5479452,15.664383561643836,109.48812479452054,16.85,338425572.6027397,15.58082191780822,109.4309602739726,0,0,0,0,0,59.57,59.54,61.68
187471.88663236666,187471.88663236666,,187471.88663236666,187471.88663236666,,0.0,0.0,,0.0,-0.4999999999999997,-0.8660254037844388,3,1995,0,1,0,1,1,1,1,0,0,17.7,344128438.3561644,15.706849315068492,109.51717561643837,18.135737704918032,340347190.4109589,15.623287671232877,109.4600110958904,0,0,0,0,1,64.14,59.57,63.9
187471.88663236666,187471.88663236666,,187471.88663236666,187471.88663236666,,0.0,0.0,,0.0,-0.8660254037844385,-0.5000000000000004,3,1995,0,1,0,1,1,1,3,0,0,16.913114754098363,345988068.4931507,15.747945205479452,109.54528931506847,19.38,342206820.5479452,15.664383561643836,109.48812479452054,0,0,0,0,0,62.14,64.14,59.54
187471.88663236666,187471.88663236666,,187471.88663236666,187471.88663236666,,0.0,0.0,,0.0,-1.0,-1.8369701987210297e-16,3,1995,0,0,1,0,0,0,0,0,0,16.1,347909686.30136985,15.79041095890411,109.57434013698632,17.7,344128438.3561644,15.706849315068492,109.51717561643837,0,0,0,0,0,59.08,62.14,59.57
187471.88663236666,187471.88663236666,,187471.88663236666,187471.88663236666,,0.0,0.0,,0.0,-0.8660254037844386,0.5000000000000001,4,1995,0,0,1,0,1,0,0,0,0,16.25,349831304.10958904,15.832876712328767,109.60339095890411,16.913114754098363,345988068.4931507,15.747945205479452,109.54528931506847,0,0,0,0,0,61.64,59.08,64.14
